,學校代碼,學校名稱,日間∕進修別,等級別,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別,學年度
491,1037,正修科技大學,D 日,5 五專,0,0,0,0,0,0,13,0,0,0,0,0,0,0,2,0,12 高雄市,2 技職,103
492,1037,正修科技大學,N 職,M 碩士,25,21,28,18,5,1,1,2,0,0,0,0,0,0,0,0,12 高雄市,2 技職,103
493,1037,正修科技大學,N 修,B 四技,941,563,872,544,852,583,809,591,0,0,0,0,0,0,251,103,12 高雄市,2 技職,103
494,1037,正修科技大學,N 修,C 二技,0,0,0,0,216,268,208,180,0,0,0,0,0,0,10,4,12 高雄市,2 技職,103
495,1037,正修科技大學,N 修,2 二專,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,12 高雄市,2 技職,103
496,1038,萬能科技大學,D 日,M 碩士,32,29,26,19,23,5,12,1,0,0,0,0,0,0,0,0,03 桃園縣,2 技職,103
497,1038,萬能科技大學,D 日,B 四技,888,848,918,898,847,649,697,512,0,0,0,0,0,0,84,19,03 桃園縣,2 技職,103
498,1038,萬能科技大學,D 日,C 二技,0,0,0,0,17,46,21,30,0,0,0,0,0,0,0,0,03 桃園縣,2 技職,103
499,1038,萬能科技大學,N 職,M 碩士,33,48,26,18,2,1,8,0,0,0,0,0,0,0,0,0,03 桃園縣,2 技職,103
500,1038,萬能科技大學,N 修,B 四技,532,383,462,360,500,386,594,468,0,0,0,0,0,0,123,39,03 桃園縣,2 技職,103
501,1038,萬能科技大學,N 修,C 二技,0,0,0,0,83,140,28,61,0,0,0,0,0,0,0,2,03 桃園縣,2 技職,103
502,1039,玄奘大學,D 日,D 博士,0,0,0,0,2,1,2,2,0,0,0,0,0,0,3,6,18 新竹市,1 一般,103
503,1039,玄奘大學,D 日,M 碩士,45,54,52,56,41,50,0,0,0,0,0,0,0,0,36,42,18 新竹市,1 一般,103
504,1039,玄奘大學,D 日,B 學士,453,570,481,586,462,551,445,483,0,0,0,0,0,0,93,59,18 新竹市,1 一般,103
505,1039,玄奘大學,N 職,M 碩士,20,32,14,51,17,34,0,0,0,0,0,0,0,0,28,36,18 新竹市,1 一般,103
506,1039,玄奘大學,N 修,C 二技,0,0,0,0,4,29,6,23,0,0,0,0,0,0,0,0,18 新竹市,2 技職,103
507,1039,玄奘大學,P 進,B 學士,215,219,108,123,124,97,150,133,0,0,0,0,0,0,47,53,18 新竹市,1 一般,103
508,1040,建國科技大學,D 日,M 碩士,66,39,53,22,19,5,6,0,0,0,0,0,0,0,0,0,07 彰化縣,2 技職,103
509,1040,建國科技大學,D 日,B 四技,1168,710,1183,657,1074,648,1091,652,0,0,0,0,0,0,134,63,07 彰化縣,2 技職,103
510,1040,建國科技大學,D 日,C 二技,0,0,0,0,11,4,6,6,0,0,0,0,0,0,0,0,07 彰化縣,2 技職,103
511,1040,建國科技大學,D 日,2 二專,0,0,21,13,0,0,0,0,0,0,0,0,0,0,2,0,07 彰化縣,2 技職,103
512,1040,建國科技大學,N 修,B 四技,283,128,244,96,234,132,207,135,0,0,0,0,0,0,47,17,07 彰化縣,2 技職,103
513,1040,建國科技大學,N 修,C 二技,0,0,0,0,92,45,92,61,0,0,0,0,0,0,3,0,07 彰化縣,2 技職,103
514,1040,建國科技大學,N 修,2 二專,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,07 彰化縣,2 技職,103
515,1041,明志科技大學,D 日,M 碩士,129,32,118,24,79,4,27,2,0,0,0,0,0,0,0,0,01 新北市,2 技職,103
516,1041,明志科技大學,D 日,B 四技,619,274,600,295,528,292,531,263,0,0,0,0,0,0,55,8,01 新北市,2 技職,103
517,1041,明志科技大學,D 日,5 五專,0,0,0,0,0,0,7,7,14,11,0,0,0,0,0,0,01 新北市,2 技職,103
518,1041,明志科技大學,N 職,M 碩士,12,3,11,2,10,2,4,0,2,0,0,0,0,0,0,0,01 新北市,2 技職,103
519,1041,明志科技大學,N 修,B 四技,109,46,71,40,59,29,55,35,0,0,0,0,0,0,6,1,01 新北市,2 技職,103
520,1041,明志科技大學,N 修,C 二技,0,0,0,0,3,19,12,5,0,0,0,0,0,0,5,3,01 新北市,2 技職,103
521,1041,明志科技大學,N 修,2 二專,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,01 新北市,2 技職,103
522,1042,高苑科技大學,D 日,M 碩士,41,12,43,12,14,3,4,2,0,0,0,0,0,0,0,0,12 高雄市,2 技職,103
523,1042,高苑科技大學,D 日,B 四技,986,486,976,435,823,424,1009,439,0,0,0,0,0,0,145,45,12 高雄市,2 技職,103
524,1042,高苑科技大學,D 日,C 二技,0,0,0,0,2,0,32,20,0,0,0,0,0,0,4,0,12 高雄市,2 技職,103
525,1042,高苑科技大學,D 日,2 二專,3,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,12 高雄市,2 技職,103
526,1042,高苑科技大學,N 職,M 碩士,83,57,52,71,15,3,6,0,1,0,1,0,0,0,0,0,12 高雄市,2 技職,103
527,1042,高苑科技大學,N 修,B 四技,294,132,225,76,232,108,225,84,0,0,0,0,0,0,78,9,12 高雄市,2 技職,103
528,1042,高苑科技大學,N 修,C 二技,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12 高雄市,2 技職,103
529,1043,大仁科技大學,D 日,M 碩士,14,10,23,17,0,0,1,0,0,0,0,0,0,0,0,0,13 屏東縣,2 技職,103
530,1043,大仁科技大學,D 日,B 四技,638,656,634,679,680,621,643,618,90,112,0,0,0,0,90,63,13 屏東縣,2 技職,103
531,1043,大仁科技大學,D 日,C 二技,0,0,0,0,7,35,29,41,0,0,0,0,0,0,3,4,13 屏東縣,2 技職,103
532,1043,大仁科技大學,D 日,5 五專,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13 屏東縣,2 技職,103
533,1043,大仁科技大學,N 職,M 碩士,45,64,17,8,3,0,1,6,0,1,0,0,0,0,0,0,13 屏東縣,2 技職,103
534,1043,大仁科技大學,N 修,B 四技,130,108,116,96,142,114,133,123,0,0,0,0,0,0,37,21,13 屏東縣,2 技職,103
535,1043,大仁科技大學,N 修,C 二技,0,0,0,0,73,382,63,248,8,100,0,0,0,0,2,5,13 屏東縣,2 技職,103
536,1044,聖約翰科技大學,D 日,M 碩士,45,5,59,0,43,2,26,1,0,0,0,0,0,0,0,0,01 新北市,2 技職,103
537,1044,聖約翰科技大學,D 日,B 四技,795,358,829,323,883,342,953,385,0,0,0,0,0,0,241,61,01 新北市,2 技職,103
538,1044,聖約翰科技大學,D 日,C 二技,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,01 新北市,2 技職,103
539,1044,聖約翰科技大學,N 職,M 碩士,19,14,27,13,5,1,11,0,0,0,0,0,0,0,0,0,01 新北市,2 技職,103
540,1044,聖約翰科技大學,N 修,B 四技,52,31,42,28,71,55,90,42,0,0,0,0,0,0,48,22,01 新北市,2 技職,103
541,1045,嶺東科技大學,D 日,M 碩士,53,50,35,40,20,18,11,4,0,0,0,0,0,0,0,0,19 臺中市,2 技職,103
542,1045,嶺東科技大學,D 日,B 四技,699,1227,660,1185,673,1171,698,1154,0,0,0,0,0,0,95,72,19 臺中市,2 技職,103
543,1045,嶺東科技大學,D 日,C 二技,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,19 臺中市,2 技職,103
544,1045,嶺東科技大學,D 日,2 二專,12,12,9,13,0,0,0,0,0,0,0,0,0,0,0,0,19 臺中市,2 技職,103
545,1045,嶺東科技大學,N 職,M 碩士,41,13,19,22,2,5,4,0,0,0,0,0,0,0,0,0,19 臺中市,2 技職,103
546,1045,嶺東科技大學,N 修,B 四技,349,283,301,268,293,288,264,307,0,0,0,0,0,0,110,98,19 臺中市,2 技職,103
547,1046,中國科技大學,D 日,M 碩士,42,31,29,23,11,4,4,0,0,0,0,0,0,0,0,0,30 臺北市,2 技職,103
548,1046,中國科技大學,D 日,B 四技,1026,1594,908,1462,861,1307,744,1143,0,0,0,0,0,0,118,78,30 臺北市,2 技職,103
549,1046,中國科技大學,D 日,C 二技,0,0,0,0,1,1,3,2,0,0,0,0,0,0,0,0,30 臺北市,2 技職,103
550,1046,中國科技大學,N 職,M 碩士,14,15,2,4,0,0,0,0,0,0,0,0,0,0,0,0,30 臺北市,2 技職,103
551,1046,中國科技大學,N 修,B 四技,307,283,299,286,293,325,308,278,0,0,0,0,0,0,143,81,30 臺北市,2 技職,103
552,1046,中國科技大學,N 修,C 二技,0,0,0,0,0,0,9,19,0,0,0,0,0,0,0,4,30 臺北市,2 技職,103
553,1047,中臺科技大學,D 日,D 博士,2,1,4,0,2,0,3,0,2,1,3,0,1,1,0,0,19 臺中市,2 技職,103
554,1047,中臺科技大學,D 日,M 碩士,27,34,26,47,0,0,0,0,0,0,0,0,0,0,18,25,19 臺中市,2 技職,103
555,1047,中臺科技大學,D 日,B 四技,543,878,518,871,507,878,491,827,0,0,0,0,0,0,166,152,19 臺中市,2 技職,103
556,1047,中臺科技大學,D 日,C 二技,0,0,0,0,45,230,47,187,0,0,0,0,0,0,0,5,19 臺中市,2 技職,103
557,1047,中臺科技大學,N 職,M 碩士,9,69,18,71,0,0,0,0,0,0,0,0,0,0,19,63,19 臺中市,2 技職,103
558,1047,中臺科技大學,N 修,B 四技,175,259,145,232,169,250,135,231,13,52,0,0,0,0,66,37,19 臺中市,2 技職,103
559,1047,中臺科技大學,N 修,C 二技,0,0,0,0,77,394,53,268,60,368,0,0,0,0,7,16,19 臺中市,2 技職,103
560,1048,亞洲大學,D 日,D 博士,27,14,16,14,21,10,16,8,8,9,9,3,5,4,0,0,06 臺中市,1 一般,103
561,1048,亞洲大學,D 日,M 碩士,123,139,115,88,65,37,32,26,0,0,0,0,0,0,0,0,06 臺中市,1 一般,103
562,1048,亞洲大學,D 日,B 學士,939,1434,979,1357,976,1347,934,1226,0,0,0,0,0,0,278,132,06 臺中市,1 一般,103
563,1048,亞洲大學,N 職,M 碩士,98,173,69,147,16,13,4,6,0,0,0,0,0,0,0,0,06 臺中市,1 一般,103
564,1048,亞洲大學,P 進,B 學士,176,187,166,135,183,142,126,142,0,0,0,0,0,0,53,44,06 臺中市,1 一般,103
565,1049,開南大學,D 日,M 碩士,62,38,62,35,37,23,19,22,0,0,0,0,0,0,0,0,03 桃園縣,1 一般,103
566,1049,開南大學,D 日,B 學士,829,892,895,848,1005,1004,867,877,0,0,0,0,0,0,342,199,03 桃園縣,1 一般,103
567,1049,開南大學,N 職,M 碩士,83,85,75,68,18,3,10,5,0,0,0,0,0,0,15,5,03 桃園縣,1 一般,103
568,1049,開南大學,P 進,B 學士,185,159,167,154,168,127,125,142,0,0,0,0,0,0,51,41,03 桃園縣,1 一般,103
569,1050,佛光大學,D 日,D 博士,9,3,3,6,3,7,3,1,4,2,2,1,2,1,0,0,02 宜蘭縣,1 一般,103
570,1050,佛光大學,D 日,M 碩士,110,122,68,99,47,67,81,59,0,0,0,0,0,0,3,3,02 宜蘭縣,1 一般,103
571,1050,佛光大學,D 日,B 學士,353,470,331,399,270,355,278,258,0,0,0,0,0,0,55,34,02 宜蘭縣,1 一般,103
572,1050,佛光大學,N 職,M 碩士,51,50,53,22,18,11,13,6,0,0,0,0,0,0,14,5,02 宜蘭縣,1 一般,103
573,1051,台南應用科技大學,D 日,M 碩士,12,53,15,28,0,0,0,0,0,0,0,0,0,0,7,39,11 臺南市,2 技職,103
574,1051,台南應用科技大學,D 日,B 四技,558,1522,511,1466,512,1373,480,1322,0,0,0,0,0,0,87,80,11 臺南市,2 技職,103
575,1051,台南應用科技大學,D 日,C 二技,0,0,0,0,45,263,54,284,0,0,0,0,0,0,1,29,11 臺南市,2 技職,103
576,1051,台南應用科技大學,D 日,5 五專,51,203,64,178,72,173,34,199,51,184,0,0,0,0,0,2,11 臺南市,2 技職,103
577,1051,台南應用科技大學,N 職,M 碩士,10,59,14,38,1,5,0,0,0,0,0,0,0,0,12,20,11 臺南市,2 技職,103
578,1051,台南應用科技大學,N 修,B 四技,230,389,207,391,194,379,204,338,0,0,0,0,0,0,60,73,11 臺南市,2 技職,103
579,1051,台南應用科技大學,N 修,C 二技,0,0,0,0,20,76,20,93,4,23,0,0,0,0,6,17,11 臺南市,2 技職,103
580,1052,遠東科技大學,D 日,M 碩士,47,16,52,12,29,3,16,4,0,0,0,0,0,0,0,0,11 臺南市,2 技職,103
581,1052,遠東科技大學,D 日,B 四技,1119,716,1210,654,1251,632,1367,691,0,0,0,0,0,0,165,53,11 臺南市,2 技職,103
582,1052,遠東科技大學,D 日,C 二技,0,0,0,0,0,2,4,4,0,0,0,0,0,0,1,1,11 臺南市,2 技職,103
583,1052,遠東科技大學,N 職,M 碩士,9,2,13,1,11,1,6,0,2,0,0,0,0,0,0,0,11 臺南市,2 技職,103
584,1052,遠東科技大學,N 修,B 四技,101,55,81,40,107,41,120,43,0,0,0,0,0,0,15,1,11 臺南市,2 技職,103
585,1052,遠東科技大學,N 修,C 二技,0,0,0,0,36,0,26,5,0,0,0,0,0,0,0,0,11 臺南市,2 技職,103
586,1052,遠東科技大學,N 修,2 二專,20,1,20,1,0,0,0,0,0,0,0,0,0,0,3,0,11 臺南市,2 技職,103
587,1053,元培醫事科技大學,D 日,M 碩士,51,48,47,35,19,11,7,4,0,0,0,0,0,0,0,0,18 新竹市,2 技職,103
588,1053,元培醫事科技大學,D 日,B 四技,684,733,633,674,624,676,658,681,0,0,0,0,0,0,239,74,18 新竹市,2 技職,103
589,1053,元培醫事科技大學,D 日,C 二技,0,0,0,0,4,46,1,5,0,0,0,0,0,0,0,1,18 新竹市,2 技職,103
590,1053,元培醫事科技大學,N 職,M 碩士,2,6,1,5,5,3,0,0,1,3,0,0,0,0,0,0,18 新竹市,2 技職,103
591,1053,元培醫事科技大學,N 修,B 四技,97,74,64,54,81,74,122,75,0,0,0,0,0,0,69,30,18 新竹市,2 技職,103
592,1053,元培醫事科技大學,N 修,C 二技,0,0,0,0,52,193,89,194,9,115,0,0,0,0,0,8,18 新竹市,2 技職,103
593,1054,景文科技大學,D 日,M 碩士,14,3,13,6,5,6,1,2,0,0,0,0,0,0,0,0,01 新北市,2 技職,103
594,1054,景文科技大學,D 日,B 四技,621,846,590,743,549,833,566,743,0,0,0,0,0,0,218,205,01 新北市,2 技職,103
595,1054,景文科技大學,D 日,C 二技,0,0,0,0,5,3,0,1,0,0,0,0,0,0,0,0,01 新北市,2 技職,103
596,1054,景文科技大學,N 職,M 碩士,29,15,26,17,7,0,1,0,0,0,0,0,0,0,0,0,01 新北市,2 技職,103
597,1054,景文科技大學,N 修,B 四技,212,218,178,207,209,210,210,225,0,0,0,0,0,0,74,39,01 新北市,2 技職,103
598,1054,景文科技大學,N 修,C 二技,0,0,0,0,102,145,98,147,0,0,0,0,0,0,10,9,01 新北市,2 技職,103
599,1054,景文科技大學,N 修,2 二專,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,01 新北市,2 技職,103
600,1055,中華醫事科技大學,D 日,M 碩士,13,7,9,3,0,0,0,0,0,0,0,0,0,0,10,4,11 臺南市,2 技職,103
601,1055,中華醫事科技大學,D 日,B 四技,534,643,460,604,467,606,430,531,0,0,0,0,0,0,81,33,11 臺南市,2 技職,103
602,1055,中華醫事科技大學,D 日,C 二技,0,0,0,0,46,309,67,331,0,0,0,0,0,0,1,10,11 臺南市,2 技職,103
603,1055,中華醫事科技大學,D 日,2 二專,24,18,19,13,0,0,0,0,0,0,0,0,0,0,3,2,11 臺南市,2 技職,103
604,1055,中華醫事科技大學,D 日,5 五專,76,326,103,338,63,328,59,315,46,322,0,0,0,0,5,21,11 臺南市,2 技職,103
605,1055,中華醫事科技大學,N 修,B 四技,132,157,83,125,160,156,135,142,3,23,0,0,0,0,45,14,11 臺南市,2 技職,103
606,1055,中華醫事科技大學,N 修,C 二技,0,0,0,0,71,286,50,255,0,0,0,0,0,0,7,24,11 臺南市,2 技職,103
607,1056,東南科技大學,D 日,M 碩士,47,8,47,5,13,1,5,1,0,0,0,0,0,0,0,0,01 新北市,2 技職,103
608,1056,東南科技大學,D 日,B 四技,1123,655,1167,612,1047,506,965,362,0,0,0,0,0,0,195,37,01 新北市,2 技職,103
609,1056,東南科技大學,D 日,C 二技,0,0,0,0,13,5,11,4,0,0,0,0,0,0,0,0,01 新北市,2 技職,103
610,1056,東南科技大學,D 日,2 二專,13,13,13,7,0,0,0,0,0,0,0,0,0,0,1,1,01 新北市,2 技職,103
611,1056,東南科技大學,N 職,M 碩士,26,2,32,0,0,0,0,0,0,0,0,0,0,0,8,0,01 新北市,2 技職,103
612,1056,東南科技大學,N 修,B 四技,134,52,60,23,74,34,62,32,0,0,0,0,0,0,15,6,01 新北市,2 技職,103
613,1056,東南科技大學,N 修,C 二技,0,0,0,0,42,13,50,10,0,0,0,0,0,0,0,0,01 新北市,2 技職,103
614,1057,德明財經科技大學,D 日,M 碩士,13,11,14,4,10,1,4,1,0,0,0,0,0,0,0,0,30 臺北市,2 技職,103
615,1057,德明財經科技大學,D 日,B 四技,634,1214,588,1184,620,1190,517,1046,0,0,0,0,0,0,103,98,30 臺北市,2 技職,103
616,1057,德明財經科技大學,D 日,C 二技,0,0,0,0,15,35,0,0,0,0,0,0,0,0,0,0,30 臺北市,2 技職,103
617,1057,德明財經科技大學,D 日,2 二專,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30 臺北市,2 技職,103
618,1057,德明財經科技大學,N 職,M 碩士,12,13,8,5,11,1,1,1,0,0,0,0,0,0,0,0,30 臺北市,2 技職,103
619,1057,德明財經科技大學,N 修,B 四技,185,187,158,174,186,231,203,267,0,0,0,0,0,0,81,47,30 臺北市,2 技職,103
620,1057,德明財經科技大學,N 修,C 二技,0,0,0,0,24,26,22,34,0,0,0,0,0,0,1,0,30 臺北市,2 技職,103
621,1058,明道大學,D 日,D 博士,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,07 彰化縣,1 一般,103
622,1058,明道大學,D 日,M 碩士,34,42,29,31,24,12,13,7,0,0,0,0,0,0,0,0,07 彰化縣,1 一般,103
623,1058,明道大學,D 日,B 學士,513,404,522,412,522,404,429,374,0,0,0,0,0,0,62,30,07 彰化縣,1 一般,103
624,1058,明道大學,N 職,M 碩士,15,29,11,11,2,1,1,1,0,0,0,0,0,0,0,0,07 彰化縣,1 一般,103
625,1058,明道大學,P 進,B 學士,304,178,220,133,248,153,227,182,0,0,0,0,0,0,69,18,07 彰化縣,1 一般,103
626,1059,康寧大學,D 日,M 碩士,41,56,34,46,9,6,7,1,0,0,0,0,0,0,1,0,21 臺南市,1 一般,103
627,1059,康寧大學,D 日,B 學士,150,147,184,149,192,140,84,78,0,0,0,0,0,0,27,15,21 臺南市,1 一般,103
628,1059,康寧大學,N 職,M 碩士,45,57,21,50,3,1,2,1,0,0,0,0,0,0,0,2,21 臺南市,1 一般,103
629,1059,康寧大學,P 進,B 學士,120,102,33,31,40,15,65,30,0,0,0,0,0,0,17,3,21 臺南市,1 一般,103
630,1060,南開科技大學,D 日,M 碩士,28,20,25,15,10,7,7,0,0,0,0,0,0,0,0,0,08 南投縣,2 技職,103
631,1060,南開科技大學,D 日,B 四技,600,321,618,351,606,288,484,207,0,0,0,0,0,0,105,20,08 南投縣,2 技職,103
632,1060,南開科技大學,D 日,C 二技,0,0,0,0,44,20,44,13,0,0,0,0,0,0,1,1,08 南投縣,2 技職,103
633,1060,南開科技大學,D 日,2 二專,6,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,08 南投縣,2 技職,103
634,1060,南開科技大學,D 日,5 五專,132,28,151,42,185,69,196,61,191,47,0,0,0,0,18,9,08 南投縣,2 技職,103
635,1060,南開科技大學,N 職,M 碩士,12,41,22,44,6,5,5,8,0,0,0,0,0,0,0,0,08 南投縣,2 技職,103
636,1060,南開科技大學,N 修,B 四技,213,113,147,82,210,88,218,97,0,0,0,0,0,0,39,14,08 南投縣,2 技職,103
637,1061,中華科技大學,D 日,M 碩士,97,33,87,45,12,8,9,4,0,0,0,0,0,0,0,0,30 臺北市,2 技職,103
638,1061,中華科技大學,D 日,B 四技,1038,579,1051,594,1016,553,1001,592,0,0,0,0,0,0,188,44,30 臺北市,2 技職,103
639,1061,中華科技大學,D 日,C 二技,0,0,0,0,0,14,4,22,0,0,0,0,0,0,0,1,30 臺北市,2 技職,103
640,1061,中華科技大學,N 職,M 碩士,49,14,34,14,6,1,4,0,3,0,2,1,0,0,0,0,30 臺北市,2 技職,103
641,1061,中華科技大學,N 修,B 四技,182,64,128,54,153,64,187,59,0,0,0,0,0,0,95,25,30 臺北市,2 技職,103
642,1061,中華科技大學,N 修,C 二技,0,0,0,0,106,101,87,77,0,0,0,0,0,0,3,3,30 臺北市,2 技職,103
643,1061,中華科技大學,N 修,2 二專,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,30 臺北市,2 技職,103
644,1062,僑光科技大學,D 日,M 碩士,20,19,26,11,0,0,0,0,0,0,0,0,0,0,5,2,19 臺中市,2 技職,103
645,1062,僑光科技大學,D 日,B 四技,561,1046,615,1002,629,879,568,807,0,0,0,0,0,0,87,54,19 臺中市,2 技職,103
646,1062,僑光科技大學,D 日,C 二技,0,0,0,0,10,11,1,10,0,0,0,0,0,0,0,0,19 臺中市,2 技職,103
647,1062,僑光科技大學,D 日,2 二專,27,27,48,30,0,0,0,0,0,0,0,0,0,0,4,1,19 臺中市,2 技職,103
648,1062,僑光科技大學,D 日,5 五專,0,0,0,0,0,0,46,101,89,206,0,0,0,0,11,10,19 臺中市,2 技職,103
649,1062,僑光科技大學,N 職,M 碩士,11,21,14,18,0,0,0,0,0,0,0,0,0,0,1,0,19 臺中市,2 技職,103
650,1062,僑光科技大學,N 修,B 四技,435,488,391,497,342,467,365,430,0,0,0,0,0,0,119,103,19 臺中市,2 技職,103
651,1062,僑光科技大學,N 修,C 二技,0,0,0,0,28,49,9,9,0,0,0,0,0,0,0,0,19 臺中市,2 技職,103
652,1062,僑光科技大學,N 修,2 二專,30,19,15,22,0,0,0,0,0,0,0,0,0,0,0,0,19 臺中市,2 技職,103
653,1063,育達科技大學,D 日,M 碩士,39,32,14,10,8,4,7,2,0,0,0,0,0,0,0,0,05 苗栗縣,2 技職,103
654,1063,育達科技大學,D 日,B 四技,482,539,423,450,468,501,531,496,0,0,0,0,0,0,123,77,05 苗栗縣,2 技職,103
655,1063,育達科技大學,D 日,C 二技,0,0,0,0,5,17,8,24,0,0,0,0,0,0,0,1,05 苗栗縣,2 技職,103
656,1063,育達科技大學,N 職,M 碩士,19,34,21,11,2,2,1,0,0,0,0,0,0,0,0,0,05 苗栗縣,2 技職,103
657,1063,育達科技大學,N 修,B 四技,178,175,178,93,159,117,181,143,0,0,0,0,0,0,52,27,05 苗栗縣,2 技職,103
658,1063,育達科技大學,N 修,C 二技,0,0,0,0,60,283,20,80,0,0,0,0,0,0,10,4,05 苗栗縣,2 技職,103
659,1064,美和科技大學,D 日,M 碩士,39,35,43,76,0,0,0,0,0,0,0,0,0,0,5,9,13 屏東縣,2 技職,103
660,1064,美和科技大學,D 日,B 四技,429,493,406,500,366,452,334,454,0,0,0,0,0,0,51,23,13 屏東縣,2 技職,103
661,1064,美和科技大學,D 日,C 二技,0,0,0,0,25,190,11,183,0,0,0,0,0,0,0,3,13 屏東縣,2 技職,103
662,1064,美和科技大學,D 日,5 五專,31,320,37,295,52,332,29,363,25,353,0,0,0,0,11,58,13 屏東縣,2 技職,103
663,1064,美和科技大學,N 職,M 碩士,10,24,11,17,0,0,0,0,0,0,0,0,0,0,6,10,13 屏東縣,2 技職,103
664,1064,美和科技大學,N 修,B 四技,151,141,111,120,90,114,110,127,0,0,0,0,0,0,25,20,13 屏東縣,2 技職,103
665,1064,美和科技大學,N 修,C 二技,0,0,0,0,68,424,53,341,24,32,0,0,0,0,8,6,13 屏東縣,2 技職,103
666,1064,美和科技大學,N 修,2 二專,8,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,13 屏東縣,2 技職,103
667,1065,吳鳳科技大學,D 日,M 碩士,8,6,6,1,0,0,0,0,0,0,0,0,0,0,9,0,10 嘉義縣,2 技職,103
668,1065,吳鳳科技大學,D 日,B 四技,745,336,733,342,718,362,691,294,0,0,0,0,0,0,88,19,10 嘉義縣,2 技職,103
669,1065,吳鳳科技大學,D 日,2 二專,0,0,6,6,0,0,0,0,0,0,0,0,0,0,2,0,10 嘉義縣,2 技職,103
670,1065,吳鳳科技大學,N 職,M 碩士,30,11,21,14,0,0,3,0,0,0,0,0,0,0,1,1,10 嘉義縣,2 技職,103
671,1065,吳鳳科技大學,N 修,B 四技,237,76,193,79,176,88,196,59,0,0,0,0,0,0,23,1,10 嘉義縣,2 技職,103
672,1065,吳鳳科技大學,N 修,C 二技,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,10 嘉義縣,2 技職,103
673,1065,吳鳳科技大學,N 修,2 二專,0,0,19,5,0,0,0,0,0,0,0,0,0,0,3,1,10 嘉義縣,2 技職,103
674,1066,環球科技大學,D 日,M 碩士,26,40,18,19,0,0,0,0,0,0,0,0,0,0,8,4,09 雲林縣,2 技職,103
675,1066,環球科技大學,D 日,B 四技,658,665,432,481,525,560,414,459,0,0,0,0,0,0,111,69,09 雲林縣,2 技職,103
676,1066,環球科技大學,D 日,C 二技,0,0,0,0,9,10,10,8,0,0,0,0,0,0,0,1,09 雲林縣,2 技職,103
677,1066,環球科技大學,D 日,2 二專,0,0,9,4,0,0,0,0,0,0,0,0,0,0,10,11,09 雲林縣,2 技職,103
678,1066,環球科技大學,N 職,M 碩士,14,7,11,2,0,0,0,0,0,0,0,0,0,0,0,0,09 雲林縣,2 技職,103
679,1066,環球科技大學,N 修,B 四技,181,190,127,133,98,88,156,123,0,0,0,0,0,0,0,0,09 雲林縣,2 技職,103
680,1066,環球科技大學,N 修,C 二技,0,0,0,0,34,123,43,109,0,0,0,0,0,0,0,0,09 雲林縣,2 技職,103
681,1066,環球科技大學,N 修,2 二專,107,85,74,92,0,0,0,0,0,0,0,0,0,0,0,0,09 雲林縣,2 技職,103
682,1067,台灣首府大學,D 日,M 碩士,13,19,15,19,0,0,0,0,0,0,0,0,0,0,2,1,11 臺南市,1 一般,103
683,1067,台灣首府大學,D 日,B 學士,591,458,397,345,539,408,465,298,0,0,0,0,0,0,53,38,11 臺南市,1 一般,103
684,1067,台灣首府大學,N 職,M 碩士,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11 臺南市,1 一般,103
685,1067,台灣首府大學,N 修,C 二技,0,0,0,0,13,8,16,10,0,0,0,0,0,0,4,1,11 臺南市,2 技職,103
686,1067,台灣首府大學,P 進,B 學士,90,101,78,71,119,121,144,123,0,0,0,0,0,0,28,15,11 臺南市,1 一般,103
687,1068,中州科技大學,D 日,M 碩士,18,8,17,6,14,3,4,1,0,0,0,0,0,0,0,0,07 彰化縣,2 技職,103
688,1068,中州科技大學,D 日,B 四技,467,312,377,262,443,305,582,322,0,0,0,0,0,0,80,23,07 彰化縣,2 技職,103
689,1068,中州科技大學,D 日,2 二專,12,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,07 彰化縣,2 技職,103
690,1068,中州科技大學,N 職,M 碩士,19,10,8,3,4,1,0,0,0,0,0,0,0,0,0,0,07 彰化縣,2 技職,103
691,1068,中州科技大學,N 修,B 四技,141,78,138,63,187,82,227,83,0,0,0,0,0,0,19,4,07 彰化縣,2 技職,103
692,1068,中州科技大學,N 修,C 二技,0,0,0,0,121,441,39,130,0,0,0,0,0,0,0,1,07 彰化縣,2 技職,103
